"","ID","score1"
"990",990,"83"
"991",991,"25"
"992",992,"65"
"993",993,"65"
"994",994,"83"
"995",995,"83"
"996",996,"83"
"997",997,"83"
"998",998,"65"
"999",999,"83"
"1000",1000,"83"
"1001",1001,"83"
"1002",1002,NA
"1003",1003,"65"
"1004",1004,"73"
"1005",1005,"83"
"1006",1006,"83"
"1007",1007,"83"
"1008",1008,"73"
"1009",1009,"83"
"1010",1010,"73"
"1011",1011,"73"
"1012",1012,"83"
"1013",1013,"83"
"1014",1014,"83"
"1015",1015,"73"
"1016",1016,"83"
"1017",1017,"65"
"1018",1018,"83"
"1019",1019,"83"
"1020",1020,"83"
"1021",1021,"83"
"1022",1022,"50"
"1023",1023,"50"
"1024",1024,"83"
"1025",1025,"83"
"1026",1026,"83"
"1027",1027,"83"
"1028",1028,"83"
"1029",1029,"69"
"1030",1030,"69"
"1031",1031,"83"
"1032",1032,"50"
"1033",1033,"83"
"1034",1034,"50"
"1035",1035,"69"
"1036",1036,"83"
"1037",1037,"50"
"1038",1038,"83"
"1039",1039,"50"
"1040",1040,"83"
"1041",1041,"50"
"1042",1042,"83"
"1043",1043,"83"
"1044",1044,"83"
"1045",1045,"83"
"1046",1046,"83"
"1047",1047,"83"
"1048",1048,"83"
"1049",1049,"83"
"1050",1050,"83"
"1051",1051,"83"
"1052",1052,"69"
"1053",1053,"83"
"1054",1054,NA
"1055",1055,"69"
"1056",1056,"69"
"1057",1057,"83"
"1058",1058,"83"
"1059",1059,"50"
"1060",1060,"83"
"1061",1061,"83"
"1062",1062,"69"
"1063",1063,"83"
"1064",1064,"83"
"1065",1065,"69"
"1066",1066,"69"
"1067",1067,"83"
"1068",1068,"50"
"1069",1069,"69"
"1070",1070,"69"
"1071",1071,"69"
"1072",1072,"50"
"1073",1073,"50"
"1074",1074,NA
"1075",1075,"50"
"1076",1076,"83"
"1077",1077,NA
"1078",1078,"83"
"1079",1079,"83"
"1080",1080,"69"
"1081",1081,"69"
"1082",1082,"83"
"1083",1083,"69"
"1084",1084,"69"
"1085",1085,"69"
"1086",1086,"69"
"1087",1087,"65"
"1088",1088,"65"
"1089",1089,"65"
"1090",1090,"65"
"1091",1091,"58"
"1092",1092,"58"
"1093",1093,"58"
"1094",1094,"58"
"1095",1095,"58"
"1096",1096,"58"
"1097",1097,"58"
"1098",1098,"58"
"1099",1099,NA
"1100",1100,"58"
"1101",1101,"50"
"1102",1102,"40"
"1103",1103,"40"
"1104",1104,"50"
"1105",1105,"65"
"1106",1106,"65"
"1107",1107,"50"
"1108",1108,"50"
"1109",1109,"50"
"1110",1110,"50"
"1111",1111,"50"
"1112",1112,"50"
"1113",1113,"69"
"1114",1114,"71"
"1115",1115,"83"
"1116",1116,"65"
"1117",1117,"65"
"1118",1118,"65"
"1119",1119,"83"
"1120",1120,"40"
"1121",1121,"83"
"1122",1122,"65"
"1123",1123,"65"
"1124",1124,"65"
"1125",1125,"77"
"1126",1126,"83"
"1127",1127,"73"
"1128",1128,"83"
"1129",1129,"65"
"1130",1130,"65"
"1131",1131,"65"
"1132",1132,"83"
"1133",1133,"83"
"1134",1134,"50"
"1135",1135,"50"
"1136",1136,"81"
"1137",1137,"71"
"1138",1138,"50"
"1139",1139,"83"
"1140",1140,"83"
"1141",1141,"77"
"1142",1142,"77"
"1143",1143,"85"
"1144",1144,"71"
"1145",1145,"73"
"1146",1146,"58"
"1147",1147,"83"
"1148",1148,"81"
"1149",1149,"50"
"1150",1150,"83"
"1151",1151,"83"
"1152",1152,"83"
"1153",1153,"65"
"1154",1154,"40"
"1155",1155,"83"
"1156",1156,"83"
"1157",1157,"65"
"1158",1158,"69"
"1159",1159,"23"
"1160",1160,"83"
"1161",1161,"54"
"1162",1162,"73"
"1163",1163,"73"
"1164",1164,"73"
"1165",1165,"73"
"1166",1166,"83"
"1167",1167,"83"
"1168",1168,"83"
"1169",1169,"83"
"1170",1170,"73"
"1171",1171,"73"
"1172",1172,"83"
"1173",1173,"83"
"1174",1174,"83"
"1175",1175,"83"
"1176",1176,"73"
"1177",1177,"83"
"1178",1178,"83"
"1179",1179,"73"
"1180",1180,"83"
"1181",1181,"83"
"1182",1182,"83"
"1183",1183,"83"
"1184",1184,"83"
"1185",1185,"83"
"1186",1186,"83"
"1187",1187,"83"
"1188",1188,"83"
"1189",1189,"83"
"1190",1190,"83"
"1191",1191,"83"
"1192",1192,"83"
"1193",1193,"73"
"1194",1194,"83"
"1195",1195,"83"
"1196",1196,"83"
"1197",1197,"83"
"1198",1198,"83"
"1199",1199,"73"
"1200",1200,"83"
"1201",1201,"83"
"1202",1202,"83"
"1203",1203,"83"
"1204",1204,"83"
"1205",1205,"83"
"1206",1206,"83"
"1207",1207,"83"
"1208",1208,"83"
"1209",1209,"83"
"1210",1210,"83"
"1211",1211,"83"
"1212",1212,"83"
"1213",1213,"96"
"1214",1214,"100"
"1215",1215,"96"
"1216",1216,"100"
"1217",1217,"96"
"1218",1218,"100"
"1219",1219,"96"
"1220",1220,"96"
"1221",1221,"96"
"1222",1222,"96"
"1223",1223,"96"
"1224",1224,"96"
"1225",1225,"96"
"1226",1226,"96"
"1227",1227,"96"
"1228",1228,"96"
"1229",1229,"96"
"1230",1230,"96"
"1231",1231,"96"
"1232",1232,"96"
"1233",1233,"96"
"1234",1234,"96"
"1235",1235,"96"
"1236",1236,"96"
"1237",1237,"96"
"1238",1238,"96"
"1239",1239,"96"
"1240",1240,"96"
"1241",1241,"96"
"1242",1242,"96"
"1243",1243,"96"
