"","x"
"873","83"
"874","73"
"875","33"
"876","23"
"877","33"
"878","69"
"879","0"
"880","48"
"881","63"
"882","38"
"883","63"
"884","29"
"885","38"
"886","73"
"887","73"
"888","73"
"889","96"
"890","0"
"891","38"
"892","67"
"893","71"
"894","69"
"895","83"
"896","65"
"897","83"
"898","83"
"899","50"
"900","38"
"901","65"
"902","65"
"903","54"
"904","54"
"905","75"
"906","69"
"907","0"
"908","0"
"909","65"
"910","65"
"911","33"
"912","50"
"913","65"
"914","77"
"915","100"
"916","83"
"917","100"
"918","96"
"919","96"
"920","96"
"921","96"
"922","83"
"923","83"
"924","65"
"925","96"
"926","96"
"927","65"
"928","96"
"929","83"
"930","96"
"931","96"
"932","100"
"933","69"
"934","100"
"935","81"
"936","96"
"937","88"
"938","40"
"939","96"
"940","83"
"941","69"
"942","79"
"943","48"
"944","69"
"945","100"
"946","100"
"947","100"
"948","100"
"949","83"
"950","83"
"951","96"
"952","81"
"953","35"
"954","19"
"955","50"
"956","83"
"957","83"
"958","71"
"959","96"
"960","96"
"961","96"
"962","96"
"963","96"
"964","100"
"965","54"
"966","96"
"967","96"
"968","83"
"969","96"
"970","100"
"971","96"
"972","100"
"973","100"
"974","77"
"975","60"
"976","33"
"977","85"
"978","85"
"979","40"
"980","33"
"981","79"
"982","81"
"983","67"
"984","54"
"985","63"
"986","81"
"987","71"
"988","65"
"989","35"
"990","50"
"991","67"
"992","40"
"993","50"
"994","38"
"995","38"
"996","67"
"997","54"
"998","85"
"999","73"
"1000","67"
"1001","48"
"1002","58"
"1003","48"
"1004","83"
"1005","81"
"1006","65"
"1007","94"
"1008","77"
"1009","96"
"1010","8"
"1011","96"
"1012","63"
"1013","8"
"1014","71"
"1015","33"
"1016","69"
"1017","40"
"1018","52"
"1019","0"
"1020","25"
"1021","33"
"1022","65"
"1023","96"
"1024","96"
"1025","96"
"1026","15"
"1027","23"
"1028","15"
"1029","67"
"1030","73"
"1031","81"
"1032","63"
"1033","63"
"1034","83"
"1035","81"
"1036","94"
"1037","94"
"1038","94"
"1039","96"
"1040","96"
"1041","83"
"1042","83"
"1043","96"
"1044","65"
"1045",NA
"1046","23"
"1047","65"
"1048","73"
"1049","71"
"1050","83"
"1051","83"
"1052","83"
"1053","23"
"1054","54"
"1055","23"
"1056","48"
"1057","48"
"1058","96"
"1059","96"
"1060","100"
"1061","88"
"1062","96"
"1063","83"
"1064","96"
"1065","96"
"1066","100"
"1067","100"
"1068","85"
"1069","96"
"1070","100"
"1071","83"
"1072","69"
"1073","100"
"1074","96"
"1075","81"
"1076","88"
"1077","96"
"1078","96"
"1079","83"
"1080","83"
"1081","96"
"1082","85"
"1083","100"
"1084","83"
"1085","100"
"1086","83"
"1087","96"
"1088","65"
"1089","83"
"1090","77"
"1091","88"
"1092","83"
"1093","96"
"1094","63"
"1095","96"
"1096","100"
"1097","83"
"1098","100"
"1099","100"
"1100","96"
